종목,상승여부
3M,하락
A- O- Smith,하락
Abbott Laboratories,상승
AbbVie,상승
Accenture,하락
Adobe Inc-,상승
Advanced Micro Devices,하락
AES Corporation,상승
Aflac,상승
Agilent Technologies,하락
Air Products,상승
Airbnb,상승
Akamai Technologies,하락
Albemarle Corporation,하락
Alexandria Real Estate Equities,하락
Align Technology,하락
Allegion,하락
Alliant Energy,상승
Allstate,상승
Alphabet Inc- (Class A),하락
Alphabet Inc- (Class C),하락
Altria,상승
Amazon,하락
Amcor,상승
Ameren,상승
American Electric Power,상승
American Express,하락
American International Group,상승
American Tower,상승
American Water Works,상승
Ameriprise Financial,하락
Ametek,하락
Amgen,상승
Amphenol,상승
Analog Devices,하락
Ansys,상승
Aon plc,상승
APA Corporation,하락
Apollo Global Management,하락
Apple Inc-,상승
Applied Materials,하락
Aptiv,하락
Arch Capital Group,상승
Archer Daniels Midland,하락
Arista Networks,상승
Arthur J- Gallagher & Co-,상승
Assurant,상승
AT&T,상승
Atmos Energy,상승
Autodesk,하락
Automatic Data Processing,상승
AutoZone,상승
AvalonBay Communities,상승
Avery Dennison,하락
Axon Enterprise,상승
Baker Hughes,하락
Ball Corporation,상승
Bank of America,하락
Baxter International,하락
Becton Dickinson,하락
Berkshire Hathaway,하락
Best Buy,하락
Bio-Techne,상승
Biogen,하락
BlackRock,상승
Blackstone Inc-,하락
BNY Mellon,하락
Boeing,하락
Booking Holdings,상승
Boston Scientific,상승
Bristol Myers Squibb,상승
Broadcom,상승
Broadridge Financial Solutions,상승
Brown & Brown,상승
Brown–Forman,하락
Builders FirstSource,하락
Bunge Global,하락
"BXP, Inc-",하락
C-H- Robinson,하락
Cadence Design Systems,상승
Caesars Entertainment,하락
Camden Property Trust,상승
Campbell's Company (The),하락
Capital One,하락
Cardinal Health,상승
CarMax,상승
Carnival,상승
Carrier Global,하락
Caterpillar Inc-,하락
Cboe Global Markets,상승
CBRE Group,상승
CDW Corporation,하락
Cencora,상승
Centene Corporation,하락
CenterPoint Energy,상승
CF Industries,상승
Charles River Laboratories,하락
Charles Schwab Corporation,상승
Charter Communications,상승
Chevron Corporation,하락
Chipotle Mexican Grill,상승
Chubb Limited,상승
Church & Dwight,상승
Cigna,상승
Cincinnati Financial,상승
Cintas,상승
Cisco,하락
Citigroup,하락
Citizens Financial Group,상승
Clorox,상승
CME Group,상승
CMS Energy,상승
Coca-Cola Company (The),상승
Cognizant,상승
Coinbase,하락
Colgate-Palmolive,상승
Comcast,상승
Conagra Brands,상승
ConocoPhillips,하락
Consolidated Edison,상승
Constellation Brands,하락
Constellation Energy,상승
Cooper Companies (The),하락
Copart,상승
Corning Inc-,하락
Corpay,하락
Corteva,상승
CoStar Group,하락
Costco,상승
Coterra,하락
CrowdStrike,상승
Crown Castle,상승
CSX Corporation,상승
Cummins,하락
CVS Health,상승
Danaher Corporation,하락
Darden Restaurants,상승
DaVita,하락
Dayforce,상승
Deckers Brands,하락
Deere & Company,상승
Dell Technologies,하락
Delta Air Lines,하락
Devon Energy,하락
Dexcom,상승
Diamondback Energy,하락
Digital Realty,하락
Dollar General,상승
Dollar Tree,하락
Dominion Energy,상승
Domino's,하락
DoorDash,상승
Dover Corporation,하락
Dow Inc-,하락
D- R- Horton,하락
DTE Energy,상승
Duke Energy,상승
DuPont,하락
Eastman Chemical Company,하락
Eaton Corporation,하락
eBay Inc-,상승
Ecolab,상승
Edison International,하락
Edwards Lifesciences,상승
Electronic Arts,상승
Elevance Health,상승
Emerson Electric,하락
Enphase Energy,상승
Entergy,상승
EOG Resources,하락
EPAM Systems,상승
EQT Corporation,하락
Equifax,상승
Equinix,상승
Equity Residential,상승
Erie Indemnity,상승
Essex Property Trust,상승
Estée Lauder Companies (The),하락
Everest Group,상승
Evergy,상승
Eversource Energy,상승
Exelon,상승
Expand Energy,상승
Expedia Group,상승
Expeditors International,하락
Extra Space Storage,상승
ExxonMobil,하락
"F5, Inc-",상승
FactSet,하락
Fair Isaac,상승
Fastenal,상승
Federal Realty Investment Trust,하락
FedEx,하락
