종목,상승확률,상승여부
3M,87.69,상승
A- O- Smith,94.99,상승
Abbott Laboratories,99.73,상승
AbbVie,82.55,상승
Accenture,59.84,상승
Adobe Inc-,90.88,상승
Advanced Micro Devices,38.35,하락
AES Corporation,99.22,상승
Aflac,97.98,상승
Agilent Technologies,99.59,상승
Air Products,92.5,상승
Airbnb,69.57,상승
Akamai Technologies,0.81,하락
Albemarle Corporation,2.25,하락
Alexandria Real Estate Equities,99.85,상승
Align Technology,87.44,상승
Allegion,98.57,상승
Alliant Energy,94.89,상승
Allstate,99.42,상승
Alphabet Inc- (Class A),4.52,하락
Alphabet Inc- (Class C),3.14,하락
Altria,98.84,상승
Amazon,75.29,상승
Amcor,90.45,상승
Ameren,97.09,상승
American Electric Power,99.46,상승
American Express,94.7,상승
American International Group,98.26,상승
American Tower,98.82,상승
American Water Works,96.36,상승
Ameriprise Financial,26.33,하락
Ametek,72.36,상승
Amgen,97.68,상승
Amphenol,39.02,하락
Analog Devices,96.59,상승
Ansys,0.24,하락
Aon plc,99.77,상승
APA Corporation,98.01,상승
Apollo Global Management,64.62,상승
Apple Inc-,21.57,하락
Applied Materials,20.0,하락
Aptiv,93.8,상승
Arch Capital Group,99.86,상승
Archer Daniels Midland,46.53,하락
Arista Networks,0.0,하락
Arthur J- Gallagher & Co-,99.59,상승
Assurant,96.91,상승
AT&T,82.56,상승
Atmos Energy,73.92,상승
Autodesk,0.16,하락
Automatic Data Processing,39.51,하락
AutoZone,72.27,상승
AvalonBay Communities,99.99,상승
Avery Dennison,95.66,상승
Axon Enterprise,0.16,하락
Baker Hughes,99.63,상승
Ball Corporation,98.87,상승
Bank of America,81.33,상승
Baxter International,53.26,상승
Becton Dickinson,86.09,상승
Berkshire Hathaway,98.58,상승
Best Buy,0.0,하락
Bio-Techne,47.95,하락
Biogen,99.96,상승
BlackRock,42.81,하락
Blackstone Inc-,53.38,상승
BNY Mellon,57.25,상승
Boeing,99.49,상승
Booking Holdings,69.43,상승
Boston Scientific,56.3,상승
Bristol Myers Squibb,99.42,상승
Broadcom,88.93,상승
Broadridge Financial Solutions,4.5,하락
Brown & Brown,97.99,상승
Brown–Forman,77.11,상승
Builders FirstSource,69.27,상승
Bunge Global,23.21,하락
"BXP, Inc-",98.25,상승
C-H- Robinson,79.57,상승
Cadence Design Systems,27.02,하락
Caesars Entertainment,44.84,하락
Camden Property Trust,98.7,상승
Campbell's Company (The),94.11,상승
Capital One,61.45,상승
Cardinal Health,79.56,상승
CarMax,24.06,하락
Carnival,64.68,상승
Carrier Global,90.64,상승
Caterpillar Inc-,50.55,상승
Cboe Global Markets,97.26,상승
CBRE Group,92.12,상승
CDW Corporation,1.65,하락
Cencora,86.08,상승
Centene Corporation,97.6,상승
CenterPoint Energy,65.17,상승
CF Industries,0.06,하락
Charles River Laboratories,69.24,상승
Charles Schwab Corporation,2.72,하락
Charter Communications,0.01,하락
Chevron Corporation,99.38,상승
Chipotle Mexican Grill,7.78,하락
Chubb Limited,99.98,상승
Church & Dwight,54.96,상승
Cigna,97.17,상승
Cincinnati Financial,99.93,상승
Cintas,41.97,하락
Cisco,3.11,하락
Citigroup,95.69,상승
Citizens Financial Group,97.97,상승
Clorox,99.18,상승
CME Group,99.41,상승
CMS Energy,99.32,상승
Coca-Cola Company (The),95.99,상승
Cognizant,43.33,하락
Coinbase,8.45,하락
Colgate-Palmolive,98.2,상승
Comcast,1.43,하락
Conagra Brands,75.69,상승
ConocoPhillips,98.48,상승
Consolidated Edison,99.32,상승
Constellation Brands,99.53,상승
Constellation Energy,0.87,하락
Cooper Companies (The),54.17,상승
Copart,98.57,상승
Corning Inc-,73.09,상승
Corpay,96.22,상승
Corteva,6.58,하락
CoStar Group,53.41,상승
Costco,46.38,하락
Coterra,4.82,하락
CrowdStrike,4.55,하락
Crown Castle,97.87,상승
CSX Corporation,30.34,하락
Cummins,97.8,상승
CVS Health,78.23,상승
Danaher Corporation,98.45,상승
Darden Restaurants,12.47,하락
DaVita,85.64,상승
Dayforce,9.01,하락
Deckers Brands,40.68,하락
Deere & Company,31.06,하락
Dell Technologies,6.5,하락
Delta Air Lines,53.13,상승
Devon Energy,96.36,상승
Dexcom,0.15,하락
Diamondback Energy,90.37,상승
Digital Realty,96.87,상승
Dollar General,86.98,상승
Dollar Tree,99.85,상승
Dominion Energy,95.56,상승
Domino's,0.0,하락
DoorDash,4.57,하락
Dover Corporation,95.47,상승
Dow Inc-,97.15,상승
D- R- Horton,87.2,상승
DTE Energy,99.52,상승
Duke Energy,99.61,상승
DuPont,30.15,하락
Eastman Chemical Company,9.05,하락
Eaton Corporation,1.98,하락
eBay Inc-,94.97,상승
Ecolab,97.12,상승
Edison International,98.67,상승
Edwards Lifesciences,99.57,상승
Electronic Arts,0.0,하락
Elevance Health,95.24,상승
Emerson Electric,41.55,하락
Enphase Energy,95.07,상승
Entergy,79.98,상승
EOG Resources,6.89,하락
EPAM Systems,83.03,상승
EQT Corporation,0.17,하락
Equifax,96.86,상승
Equinix,93.75,상승
Equity Residential,99.91,상승
Erie Indemnity,98.78,상승
Essex Property Trust,99.55,상승
Estée Lauder Companies (The),97.88,상승
Everest Group,99.95,상승
Evergy,97.45,상승
Eversource Energy,90.54,상승
Exelon,99.14,상승
Expand Energy,10.94,하락
Expedia Group,6.1,하락
Expeditors International,99.18,상승
Extra Space Storage,99.96,상승
ExxonMobil,99.49,상승
"F5, Inc-",0.0,하락
FactSet,99.27,상승
Fair Isaac,89.28,상승
Fastenal,0.41,하락
Federal Realty Investment Trust,99.8,상승
FedEx,99.77,상승
Fidelity National Information Services,0.0,하락
Fifth Third Bancorp,98.92,상승
First Solar,99.37,상승
FirstEnergy,99.34,상승
Fiserv,91.83,상승
Ford Motor Company,88.39,상승
Fortinet,0.0,하락
Fortive,19.67,하락
Fox Corporation (Class A),0.0,하락
Fox Corporation (Class B),0.0,하락
Franklin Resources,92.44,상승
Freeport-McMoRan,11.4,하락
Garmin,67.13,상승
Gartner,58.88,상승
